DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,-0.45643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-1.33241,-1.1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,-0.19144,-0.76018,-0.86807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.14625,-0.30411,-0.68622,-0.85051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,-1.08139,-0.74484,-0.78963,-1.11231,-1.20116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.15152,-0.79572,-0.66005,-0.75576,-1.03842,-1.12628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,1.85475,1.65218,0.69646,0.31694,0.07902,-0.25321,-0.3949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.39142,1.02821,0.93513,0.27211,0.04842,-0.13582,-0.45628,-0.55494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.04991,-0.23454,0.74741,0.71836,0.21027,0.02945,-0.13899,-0.43543,-0.52863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.48326,0.24228,-0.0327,0.78597,0.76108,0.34624,0.142,-0.05444,-0.34771,-0.43948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-1.9837,-0.64249,-0.576,-0.66023,0.17206,0.20088,-0.1514,-0.27136,-0.40984,-0.65961,-0.75562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-1.29942,-2.25997,-1.06145,-0.94425,-0.9737,-0.18408,-0.13078,-0.46112,-0.49162,-0.58836,-0.80947,-0.90415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.12929,-1.00333,-1.6283,-1.01127,-0.94711,-0.99502,-0.2698,-0.20911,-0.55293,-0.55529,-0.64599,-0.85173,-0.94026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.17432,-0.33418,-0.93457,-1.42994,-0.97951,-0.93292,-0.99875,-0.3183,-0.25939,-0.56936,-0.57545,-0.65478,-0.84954,-0.94251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.81803,0.41215,0.19629,-0.36522,-0.8391,-0.58763,-0.57847,-0.69376,-0.07069,-0.02643,-0.33315,-0.34329,-0.43657,-0.6391,-0.74136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,1.70833,1.70257,1.42404,1.23672,0.78922,0.24329,0.34712,0.34577,0.24957,0.68827,0.71342,0.46517,0.3932,0.28537,0.07749,-0.05026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.47211,1.54983,1.65958,1.46069,1.29147,0.86055,0.33756,0.44073,0.44181,0.37591,0.77117,0.78665,0.56973,0.4697,0.365,0.14685,0.01588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,0.10338,0.46724,1.56562,1.76649,1.52433,1.30601,0.85214,0.34393,0.46207,0.4708,0.40852,0.79083,0.80726,0.59566,0.49278,0.38109,0.16366,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.07397,0.05866,0.37535,1.38343,1.56224,1.34642,1.16336,0.76933,0.31239,0.42732,0.44624,0.38472,0.76099,0.77964,0.56747,0.49299,0.38165,0.17795,0.04837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,0.05778,-0.05877,1e-04,0.21679,1.23327,1.42586,1.27458,1.07957,0.67484,0.25182,0.37599,0.39019,0.34518,0.72055,0.75266,0.53167,0.47833,0.35959,0.16514,0.03936,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,-0.49854,-0.23433,-0.24535,-0.17433,-0.01232,0.97525,1.13963,0.99161,0.84253,0.50289,0.14055,0.26391,0.28154,0.24328,0.61639,0.65192,0.4252,0.38823,0.27934,0.09485,-0.02364,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,0.93095,0.22314,0.18425,0.08587,0.12929,0.29592,1.13423,1.33505,1.21015,1.04077,0.66853,0.28532,0.39312,0.40297,0.36251,0.69751,0.72929,0.51726,0.47528,0.35927,0.19018,0.07993,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,1.0762,1.12908,0.84876,0.69852,0.57309,0.56092,0.67655,1.2349,1.37597,1.30289,1.19548,0.87172,0.4598,0.54462,0.54663,0.50172,0.81307,0.84208,0.64189,0.59182,0.48875,0.32892,0.2168,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,1.85726,1.61585,1.56247,1.42352,1.29689,1.21619,1.18868,1.24234,1.59317,1.73115,1.70499,1.63171,1.38663,0.94153,0.97975,0.96881,0.90884,1.15763,1.17541,0.99975,0.92471,0.84148,0.70936,0.61428,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,-1.43607,1.26826,1.27966,1.28407,1.14388,1.05311,0.97787,0.96634,1.03354,1.47752,1.62399,1.5562,1.47728,1.24198,0.79482,0.84666,0.8452,0.7834,1.03896,1.05818,0.88179,0.81972,0.72471,0.58682,0.48778,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,0.38154,-0.5353,1.01801,1.12341,1.15738,1.03012,0.96709,0.90341,0.89667,0.95425,1.36694,1.4802,1.40843,1.34753,1.15162,0.76856,0.81794,0.8173,0.75215,0.99668,1.01395,0.84345,0.78659,0.69601,0.56318,0.46616,,,,,,,,,,,,,,,,,,,,,,
Mar1952,0.15012,0.16846,-0.34425,0.87216,1.02754,1.09156,0.97271,0.94981,0.89641,0.89908,0.94885,1.35601,1.45151,1.37406,1.31153,1.12967,0.78239,0.82322,0.82846,0.77593,1.00547,1.01752,0.8551,0.80084,0.71568,0.58068,0.48237,,,,,,,,,,,,,,,,,,,,,
Apr1952,1.65627,1.39082,1.26369,0.86275,1.53119,1.47604,1.49824,1.42525,1.41212,1.3601,1.36153,1.38413,1.64139,1.73039,1.69117,1.65076,1.5293,1.19082,1.21383,1.20839,1.14964,1.3316,1.33976,1.21046,1.14498,1.07508,0.96344,0.88622,,,,,,,,,,,,,,,,,,,,
May1952,1.46477,1.87531,1.77511,1.68563,1.35927,1.8227,1.70727,1.69979,1.62978,1.60964,1.56494,1.56562,1.58592,1.78767,1.87507,1.85173,1.82374,1.73292,1.39448,1.40962,1.39676,1.32918,1.49253,1.49756,1.38527,1.32,1.26004,1.16395,1.10001,,,,,,,,,,,,,,,,,,,
Jun1952,-1.51278,0.61122,1.58064,1.51362,1.4102,0.99477,1.6271,1.54035,1.5563,1.49215,1.48525,1.43845,1.43751,1.46938,1.69783,1.78289,1.75674,1.71543,1.61571,1.27611,1.29617,1.286,1.22224,1.39983,1.40764,1.28981,1.22848,1.15776,1.05439,0.98039,,,,,,,,,,,,,,,,,,
Jul1952,0.87079,-0.26766,0.91401,1.61956,1.57118,1.47828,1.11198,1.65823,1.56703,1.58898,1.53084,1.52553,1.48489,1.48766,1.51507,1.72008,1.80419,1.77724,1.74199,1.66029,1.3455,1.36273,1.35147,1.28628,1.45681,1.46462,1.35314,1.29826,1.23487,1.13635,1.07169,,,,,,,,,,,,,,,,,
Aug1952,0.91259,1.05537,0.31275,1.08505,1.75162,1.74392,1.75431,1.32079,1.8088,1.67316,1.67379,1.61872,1.60351,1.57788,1.58808,1.60424,1.78635,1.86853,1.84169,1.80871,1.7291,1.43362,1.44858,1.43171,1.36891,1.52704,1.537,1.43632,1.38785,1.33006,1.24192,1.18609,,,,,,,,,,,,,,,,
Sep1952,-0.20454,0.4902,0.67582,0.16248,0.82565,1.5315,1.50139,1.50214,1.13437,1.62941,1.53798,1.55903,1.5105,1.50259,1.48196,1.49601,1.50887,1.7045,1.77673,1.74788,1.71768,1.63791,1.37347,1.39126,1.38001,1.32752,1.48642,1.49777,1.39796,1.35613,1.2964,1.20926,1.15109,,,,,,,,,,,,,,,
